"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","4337","[Cenário 1] Login com credenciais válidas","firefox","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de sucesso","specs\login.spec.ts","",""
"","4610","[Cenário 1] Informaçoes com campos vazios","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Fluxo de erro de ""Informaçoes do comprador""","specs\compra.spec.ts","",""
"","4263","[Cenário 2] Login com usuario inválido","webkit","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","1117","[Cenário 3] Login com campos vazios","webkit","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","5406","[Cenário 1] Informaçoes com campos vazios","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Fluxo de erro de ""Informaçoes do comprador""","specs\compra.spec.ts","",""
"","4021","[Cenário 2] Login com usuario inválido","firefox","2026-03-12","passed","2026-03-12","Fluxo de login @LOGIN @SWAGLABS > [Objetivo do teste] Realizar fluxo de erro","specs\login.spec.ts","",""
"","5568","[Cenário 1] Filtrar por categoria ""Price (low to high)""","chrome","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
"","5397","[Cenário 1] Adicionar produtos ao carrinho","firefox","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","4098","[Cenário 1] Adicionar produtos ao carrinho","chrome","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Gerenciar produtos no carrinho","specs\compra.spec.ts","",""
"","5949","[Cenário 1] Filtrar por categoria ""Price (low to high)""","webkit","2026-03-12","passed","2026-03-12","Fluxo de compra @COMPRA @SWAGLABS > [Objetivo do teste] Filtrar produto","specs\compra.spec.ts","",""
